Designator,Comment,Description,Footprint,Distributor #,Quantity
,,,,,
R8,49.9K/62.5mW,62.5mW Thick Film Resistors ¡Ó1% 49.9k£[ 0402  Chip Resistor - Surface Mount ROHS,0402_Res,C100457,1
"C2, C4, C5, C10",100n/50V,16V 100nF -20%~+80% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402_CAP,C2838746,4
"R3, R4, R5",10K/62.5mW,62.5mW Thick Film Resistors ¡Ó100ppm/¢J ¡Ó5% 10k£[ 0402  Chip Resistor - Surface Mount ROHS,0402_Res,C2924170,3
J1,Type-C Power Header,5A 1 Surface Mount 6 Female -25¢J~+85¢J Type-C SMD USB Connectors ROHS,Type-C_6_Female,C2927030,1
"R1, R2",5.1K/62.5mW,62.5mW ¡Ó1% 5.1k£[ 0402  Chip Resistor - Surface Mount ROHS,0402_Res,C3152095,2
"R6, R7",0R,General Resistor,0402_Res,C3152098,2
"C1, C9",10u/25V,25V 10uF X5R - Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0805_Cap,C3909351,2
"R13, R14",150K/62.5mW,62.5mW Thick Film Resistors ¡Ó100ppm/¢J ¡Ó5% 150k£[ 0402 Chip Resistor - Surface Mount ROHS,0402_Res,C409708,2
P1,V_Output,"10A -40¢J~+105¢J 300V Green 18~24 Straight pin 3.5mm 0.75 1 2 Plugin,P=3.5mm  Screw terminal ROHS",KF350-2P,C474892,1
D2,Yellow/54mW,590nm~590nm yellow 54mW 0603  Light Emitting Diodes (LED) ROHS,0603_LED,C600870,1
"R9, R12",1K/62.5mW,63mW ¡Ó5% 1k£[ 0402  Chip Resistor - Surface Mount ROHS,0402_Res,C881213,2
"C3, C6, C7, C8",1u/25V,25V 1uF Y5V ¡Ó20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0805_Cap,C89378,4
