Designator,Comment,Description,Footprint,Distributor #,Mfr. #,Mfr.,Distributor_Link,Datasheet,Quantity

"C1, C9","10u/25V","25V 10uF X5R - Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0805_Cap","C3909351","GRM21BR61E106KA73K","Murata Electronics","https://jlcpcb.com/partdetail/4477883-GRM21BR61E106KA73K/C3909351","https://jlcpcb.com/parts/2nd/Capacitors/Multilayer_Ceramic_Capacitors_MLCC_SMD_SMT_33","2"
"C2, C4, C5, C10","100n/50V","16V 100nF -20%~+80% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402_CAP","C2838746","0402F104Z160NT","FH (Guangdong Fenghua Advanced Tech)","https://jlcpcb.com/partdetail/3013916-0402F104Z160NT/C2838746","https://datasheet.lcsc.com/lcsc/2202131930_FH--Guangdong-Fenghua-Advanced-Tech-0402F104Z160NT_C2838746.pdf","4"
"C3, C6, C7, C8","1u/25V","25V 1uF Y5V ¡Ó20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0805_Cap","C89378","0805F105M250NT","FH (Guangdong Fenghua Advanced Tech)","https://jlcpcb.com/partdetail/90558-0805F105M250NT/C89378","https://datasheet.lcsc.com/lcsc/1810311214_FH--Guangdong-Fenghua-Advanced-Tech-0805F105M250NT_C89378.pdf","4"
"D1","22V/100mW","Zener Diodes CDZV22B is the 100mW type compact (1006 size) diode for voltage regulation.","SOD-923-2","755-CDZVT2R22B","CDZVT2R22B","ROHM Semiconductor","https://www.mouser.tw/ProductDetail/ROHM-Semiconductor/CDZVT2R22B?qs=4v%252BiZTmLVHG6BDwFzUsoYg%3D%3D","https://www.rohm.com/datasheet?p=CDZV22B&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser","1"
"D2","Yellow/54mW","590nm~590nm yellow 54mW 0603  Light Emitting Diodes (LED) ROHS","0603_LED","C600870","SML-D12Y8WT86R","ROHM Semicon","https://jlcpcb.com/partdetail/RohmSemicon-SMLD12Y8WT86R/C600870","https://datasheet.lcsc.com/lcsc/2006151335_ROHM-Semicon-SML-D12Y8WT86R_C600870.pdf","1"
"F1","24V/7A","Resettable Fuses - PPTC PTC SMD RESETTABLE FUSE","2920_PTC","576-2920L700/24SLER","2920L700/24SLER","Littelfuse","https://www.mouser.tw/ProductDetail/Littelfuse/2920L700-24SLER?qs=7MVldsJ5UazQEVth1QGslQ%3D%3D","https://www.mouser.tw/datasheet/2/240/littelfuse_ptc_low_rho_datasheet_pdf-2956203.pdf","1"
"IC1","CYPD3177-24LQXQT","USB Interface IC USB Type-C port controller CYPD3177","QFN-24","727-CYPD3177-24LQXQT","CYPD3177-24LQXQT","Infineon Technologies","https://www.mouser.tw/ProductDetail/727-CYPD3177-24LQXQT","https://www.mouser.tw/datasheet/2/196/Infineon_EZ_PD_BCR_Datasheet_USB_Type_C_Port_Contr-3161917.pdf","1"
"J1","Type-C Power Header","5A 1 Surface Mount 6 Female -25¢J~+85¢J Type-C SMD USB Connectors ROHS","Type-C_6_Female","C2927030","USB-TYPE-C-010","DEALON","https://jlcpcb.com/partdetail/Dealon-USB_TYPE_C010/C2927030","https://datasheet.lcsc.com/lcsc/2201121330_DEALON-USB-TYPE-C-010_C2927030.pdf","1"
"P1","V_Output","10A -40¢J~+105¢J 300V Green 18~24 Straight pin 3.5mm 0.75 1 2 Plugin,P=3.5mm  Screw terminal ROHS","KF350-2P","C474892","KF350-3.5-2P","Cixi Kefa Elec","https://jlcpcb.com/partdetail/Cixi_KefaElec-KF350_3_52P/C474892","https://datasheet.lcsc.com/lcsc/2303171000_Cixi-Kefa-Elec-KF350-3-5-2P_C474892.pdf","1"
"Q1, Q2","40V/6.9A","MOSFET P Ch -40Vds 20Vgs AEC-Q101 Qualified","TSOP-6","78-SQ3419EV-T1_GE3","SQ3419EV-T1_GE3","Vishay Semiconductors","https://www.mouser.tw/ProductDetail/Vishay-Semiconductors/SQ3419EV-T1_GE3?qs=Vcr9%2FL0R50hjQdrP75bU0Q%3D%3D&gclid=CjwKCAjwg-GjBhBnEiwAMUvNW2_QHlpdOmMyQk5t1a0eb3FLtCoKgaDvyU_lKGTsS4lC8mEsJurJAhoCUjcQAvD_BwE","https://www.vishay.com/doc?68210","2"
"Q3","TNM3K60FE","60V 0.3A 2£[@10V SOT-523  MOSFETs ROHS","CST3-3","757-SSM3K72KCTL3F","SSM3K72KCT,L3F","Toshiba","https://www.mouser.tw/ProductDetail/757-SSM3K72KCTL3F","https://www.mouser.tw/datasheet/2/408/SSM3K72KCT_datasheet_en_20201124-1099204.pdf","1"
"R1, R2","5.1K/62.5mW","62.5mW ¡Ó1% 5.1k£[ 0402  Chip Resistor - Surface Mount ROHS","0402_Res","C3152095","SC0402F5101F2ANRH","Sunway","https://jlcpcb.com/partdetail/Sunway-SC0402F5101F2ANRH/C3152095","https://datasheet.lcsc.com/lcsc/2207281800_Sunway-SC0402F5101F2ANRH_C3152095.pdf","2"
