Change Component Designator: OldDesignator=P5 NewDesignator=P6
Change Component Designator: OldDesignator=P6 NewDesignator=P5
Change Component Designator: OldDesignator=P8 NewDesignator=P7
Change Component Designator: OldDesignator=P9 NewDesignator=P8
Added Component: Designator=De1(De10-Nano)
Added Component: Designator=P9(HDR2X5)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Pin To Net: NetName=D_GND Pin=De1-1
Added Pin To Net: NetName=D_GND Pin=De1-1
Added Pin To Net: NetName=D_GND Pin=De1-1
Added Pin To Net: NetName=D_GND Pin=De1-1
Add Pin To Net: Unknown Pin: Pin J1-1A
Add Pin To Net: Unknown Pin: Pin J1-1B
Add Pin To Net: Unknown Pin: Pin J1-2A
Add Pin To Net: Unknown Pin: Pin J1-2B
Add Pin To Net: Unknown Pin: Pin J1-3A
Add Pin To Net: Unknown Pin: Pin J1-3B
Added Pin To Net: NetName=5V Pin=P9-1
Added Pin To Net: NetName=MA_V1 Pin=P9-2
Added Pin To Net: NetName=MA_V2 Pin=P9-3
Added Pin To Net: NetName=MB_V1 Pin=P9-4
Added Pin To Net: NetName=MB_V2 Pin=P9-5
Added Pin To Net: NetName=CSA_FeedBack1 Pin=P9-6
Added Pin To Net: NetName=CSA_FeedBack2 Pin=P9-7
Added Pin To Net: NetName=CSB_FeedBack1 Pin=P9-8
Added Pin To Net: NetName=CSB_FeedBack2 Pin=P9-9
Added Pin To Net: NetName=D_GND Pin=P9-10
Change Net Color : Old Net Color=RGB(158, 161, 117) New Net Color=Default
Change Net Color : Old Net Color=RGB(158, 161, 117) New Net Color=Default
Change Net Color : Old Net Color=RGB(22, 79, 59) New Net Color=Default
Added Member To Class: ClassName=MotorCtrl1 Member=Component C10_1 (C10) 0402 SMD MLCC
Added Member To Class: ClassName=MotorCtrl2 Member=Component C10_2 (C10) 0402 SMD MLCC
Added Member To Class: ClassName=Communication Member=Component De1 De10-Nano
Added Member To Class: ClassName=MotorCtrl1 Member=Component MD1_1 (MD1) MD02
Added Member To Class: ClassName=MotorCtrl2 Member=Component MD1_2 (MD1) MD02
Added Member To Class: ClassName=MotorCtrl1 Member=Component P3_1 (P3) MA_Pin
Added Member To Class: ClassName=MotorCtrl2 Member=Component P3_2 (P3) MA_Pin
Added Member To Class: ClassName=MotorCtrl1 Member=Component P4_1 (P4) MB_Pin
Added Member To Class: ClassName=MotorCtrl2 Member=Component P4_2 (P4) MB_Pin
Added Member To Class: ClassName=Communication Member=Component P9 Header 5X2
Added Member To Class: ClassName=MotorCtrl1 Member=Component R2_1 (R2) 120k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R2_2 (R2) 120k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R3_1 (R3) 33k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R3_2 (R3) 33k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R4_1 (R4) 120k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R4_2 (R4) 120k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R5_1 (R5) 33k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R5_2 (R5) 33k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R6_1 (R6) 33k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R6_2 (R6) 33k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R7_1 (R7) 120k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R7_2 (R7) 120k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R8_1 (R8) 33k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R8_2 (R8) 33k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R9_1 (R9) 120k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R9_2 (R9) 120k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R10_1 (R10) 120k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R10_2 (R10) 120k
Added Member To Class: ClassName=MotorCtrl1 Member=Component R11_1 (R11) 33k
Added Member To Class: ClassName=MotorCtrl2 Member=Component R11_2 (R11) 33k
