Altium Designer Pick and Place Locations
D:\source_code\digital_twin-hardware\Main\Project Outputs for Main\Main_v1\Pick Place\Pick Place for Main.csv

========================================================================================================================
File Design Information:

Date:       28/06/22
Time:       20:01
Revision:   bbbd0f808a6212e50b36289ca31e4c13722e796c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MH3","M3 Hole","TopLayer","M3_HOLE","118.3639","40.2073","0","M3 Hole"
"S2","Digital EMS","TopLayer","ST-0-102-C03-N003-RS","12.1750","-3.2650","270","Cylindrical button handle 125V -25¢J~85¢J SPDT PCPin 40000 3A Plugin  Toggle Switches ROHS"
"C1","220uF","TopLayer","VZT221M1ETR-0607","-0.6030","-69.4340","90","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C2","220uF","TopLayer","VZT221M1ETR-0607","73.8500","-43.0500","0","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C3","0.1uF","TopLayer","1210B104K500NT","5.7650","-73.4000","270","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C4","0.1uF","TopLayer","1210B104K500NT","72.5500","-48.8920","180","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C5","10F","TopLayer","SUPPYCAP-DIP_L33.0_W16.5","25.1350","7.2375","90","CAPACITOR 10F -10% +30% 5.5V T/H"
"C6","10F","TopLayer","SUPPYCAP-DIP_L33.0_W16.5","42.4350","7.3375","90","CAPACITOR 10F -10% +30% 5.5V T/H"
"C7","220uF","TopLayer","VZT221M1ETR-0607","47.6000","-21.3750","90","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C8","220uF","TopLayer","VZT221M1ETR-0607","47.6000","-42.8750","90","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C9","0.1uF","TopLayer","1210B104K500NT","46.2750","-28.5000","0","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C10","0.1uF","TopLayer","1210B104K500NT","46.2750","-50.0000","0","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C11","220uF","TopLayer","VZT221M1ETR-0607","74.6400","-58.5750","180","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C12","0.1uF","TopLayer","CL10B104KA8NNNC","82.9350","-57.8250","270","25V 100nF X7R ¡Ó10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C13","220uF","TopLayer","VZT221M1ETR-0607","139.3350","17.8750","90","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C14","220uF","TopLayer","VZT221M1ETR-0607","139.7350","-40.8500","270","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C15","0.1uF","TopLayer","1210B104K500NT","145.5350","16.6000","270","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C16","0.1uF","TopLayer","1210B104K500NT","134.2350","-39.2500","90","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C17","0.1uF","TopLayer","1210B104K500NT","159.7150","-25.4850","270","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C18","0.1uF","TopLayer","1210B104K500NT","172.1600","-35.4250","180","50V 100nF X7R ¡Ó10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C19","220uF","TopLayer","VZT221M1ETR-0607","165.3350","-24.2000","90","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C20","220uF","TopLayer","VZT221M1ETR-0607","171.2871","-42.4230","270","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C21","220uF","TopLayer","VZT221M1ETR-0607","156.9240","-9.6650","0","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C22","220uF","TopLayer","VZT221M1ETR-0607","139.3400","-9.6650","0","-45¢J~+105¢J 2000hrs@105¢J 220uF 7.7mm 25V 6.3mm ¡Ó20% SMD,6.3x7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS"
"C23","0.1uF","TopLayer","CL10B104KA8NNNC","155.0490","-14.1100","180","25V 100nF X7R ¡Ó10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C24","0.1uF","TopLayer","CL10B104KA8NNNC","137.4650","-14.1100","180","25V 100nF X7R ¡Ó10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
