Removed Member From Class: ClassName=digital_5v Member=D_GND
Added Pin To Net: NetName=D_GND Pin=C1-2
Added Pin To Net: NetName=D_GND Pin=C2-2
Added Pin To Net: NetName=D_GND Pin=C3-2
Added Pin To Net: NetName=D_GND Pin=C5-1
Added Pin To Net: NetName=D_GND Pin=D1-2
Added Pin To Net: NetName=D_GND Pin=J1-2
Added Pin To Net: NetName=D_GND Pin=J1-3
Added Pin To Net: NetName=D_GND Pin=MD1_1-14
Added Pin To Net: NetName=D_GND Pin=MD1_1-14
Added Pin To Net: NetName=D_GND Pin=MD1_2-14
Added Pin To Net: NetName=D_GND Pin=MD1_2-14
Added Pin To Net: NetName=D_GND Pin=MH1-1
Added Pin To Net: NetName=D_GND Pin=MH2-1
Added Pin To Net: NetName=D_GND Pin=MH3-1
Added Pin To Net: NetName=D_GND Pin=MH4-1
Added Pin To Net: NetName=D_GND Pin=P1-2
Added Pin To Net: NetName=D_GND Pin=P2-2
Added Pin To Net: NetName=D_GND Pin=T1-2
Change Net Name : Old Net Name=D_GND New Net Name=A_GND
Added Member To Class: ClassName=digital_5v Member=Wire A_GND
